candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,fault_ordering_mode,fault_history_profile,fault_trace_attempts,generated_patterns_traced,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir,fault_trace_path,pattern_trace_path
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260615-221356_candidate_history_ordering_trial1_pcitc_2ad2fcde,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5951,6025,5951,75768,131,1,62,10.183,history,pcitc_fault_profile.json,6157,6025,12.553692946058092,11.553692946058092,17505,True,1,True,1.0,39.29769999999999,39.29769999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221356_candidate_history_ordering_trial1_pcitc_2ad2fcde,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221356_candidate_history_ordering_trial1_pcitc_2ad2fcde/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221356_candidate_history_ordering_trial1_pcitc_2ad2fcde/pcitc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,2,20260615-221402_candidate_history_ordering_trial2_pcitc_306953ec,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5951,6025,5951,75768,131,1,62,10.167,history,pcitc_fault_profile.json,6157,6025,12.553692946058092,11.553692946058092,17505,True,1,True,1.0,39.299299999999995,39.299299999999995,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221402_candidate_history_ordering_trial2_pcitc_306953ec,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221402_candidate_history_ordering_trial2_pcitc_306953ec/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221402_candidate_history_ordering_trial2_pcitc_306953ec/pcitc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,3,20260615-221408_candidate_history_ordering_trial3_pcitc_79a82883,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5949,6025,5949,75768,131,1,62,10.117,history,pcitc_fault_profile.json,6157,6025,12.553692946058092,11.553692946058092,17505,True,1,True,1.0,39.324299999999994,39.324299999999994,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221408_candidate_history_ordering_trial3_pcitc_79a82883,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221408_candidate_history_ordering_trial3_pcitc_79a82883/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221408_candidate_history_ordering_trial3_pcitc_79a82883/pcitc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260615-221414_candidate_history_ordering_trial1_destc_e8891ce8,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,367,388,367,295215,0,0,1,11.283,history,destc_fault_profile.json,388,388,760.8634020618557,759.8634020618557,74190,True,1,True,1.0,95.2017,95.2017,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221414_candidate_history_ordering_trial1_destc_e8891ce8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221414_candidate_history_ordering_trial1_destc_e8891ce8/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221414_candidate_history_ordering_trial1_destc_e8891ce8/destc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,2,20260615-221421_candidate_history_ordering_trial2_destc_4f681e0c,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,369,388,369,295215,0,0,1,11.0,history,destc_fault_profile.json,388,388,760.8634020618557,759.8634020618557,74190,True,1,True,1.0,95.21000000000001,95.21000000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221421_candidate_history_ordering_trial2_destc_4f681e0c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221421_candidate_history_ordering_trial2_destc_4f681e0c/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221421_candidate_history_ordering_trial2_destc_4f681e0c/destc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,3,20260615-221428_candidate_history_ordering_trial3_destc_698aeda4,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,363,388,363,295215,0,0,1,10.85,history,destc_fault_profile.json,388,388,760.8634020618557,759.8634020618557,74190,True,1,True,1.0,95.28500000000001,95.28500000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221428_candidate_history_ordering_trial3_destc_698aeda4,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221428_candidate_history_ordering_trial3_destc_698aeda4/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221428_candidate_history_ordering_trial3_destc_698aeda4/destc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260615-221434_candidate_history_ordering_trial1_DMAtc_a9651320,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10782,10951,10782,77788,2071,2159,7064,23.933,history,DMAtc_fault_profile.json,15181,10951,6.717012145009588,5.717012145009588,14685,True,1,True,1.0,-15.65130000000001,-15.65130000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221434_candidate_history_ordering_trial1_DMAtc_a9651320,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221434_candidate_history_ordering_trial1_DMAtc_a9651320/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221434_candidate_history_ordering_trial1_DMAtc_a9651320/DMAtc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,2,20260615-221449_candidate_history_ordering_trial2_DMAtc_3ce98837,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10775,10951,10775,77788,2071,2159,7064,23.8,history,DMAtc_fault_profile.json,15181,10951,6.717012145009588,5.717012145009588,14685,True,1,True,1.0,-15.568000000000003,-15.568000000000003,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221449_candidate_history_ordering_trial2_DMAtc_3ce98837,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221449_candidate_history_ordering_trial2_DMAtc_3ce98837/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221449_candidate_history_ordering_trial2_DMAtc_3ce98837/DMAtc.test.patterntrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,3,20260615-221503_candidate_history_ordering_trial3_DMAtc_a547ae73,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10779,10951,10779,77788,2071,2159,7064,23.867,history,DMAtc_fault_profile.json,15181,10951,6.717012145009588,5.717012145009588,14685,True,1,True,1.0,-15.61470000000001,-15.61470000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221503_candidate_history_ordering_trial3_DMAtc_a547ae73,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221503_candidate_history_ordering_trial3_DMAtc_a547ae73/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221503_candidate_history_ordering_trial3_DMAtc_a547ae73/DMAtc.test.patterntrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,1,20260615-221518_candidate_history_ordering_c1_trial1_pcitc_1208db1c,pcitc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5946,6025,5946,75768,131,1,62,10.833,history,pcitc_fault_profile.json,6157,6025,12.553692946058092,11.553692946058092,17505,True,1,False,1.0,39.28269999999999,39.28269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221518_candidate_history_ordering_c1_trial1_pcitc_1208db1c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221518_candidate_history_ordering_c1_trial1_pcitc_1208db1c/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221518_candidate_history_ordering_c1_trial1_pcitc_1208db1c/pcitc.test.patterntrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,2,20260615-221524_candidate_history_ordering_c1_trial2_pcitc_c7bf8f92,pcitc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5948,6025,5948,75768,131,1,62,10.617,history,pcitc_fault_profile.json,6157,6025,12.553692946058092,11.553692946058092,17505,True,1,False,1.0,39.28429999999999,39.28429999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221524_candidate_history_ordering_c1_trial2_pcitc_c7bf8f92,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221524_candidate_history_ordering_c1_trial2_pcitc_c7bf8f92/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221524_candidate_history_ordering_c1_trial2_pcitc_c7bf8f92/pcitc.test.patterntrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,3,20260615-221531_candidate_history_ordering_c1_trial3_pcitc_5147f75f,pcitc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5945,6025,5945,75768,131,1,62,11.2,history,pcitc_fault_profile.json,6157,6025,12.553692946058092,11.553692946058092,17505,True,1,False,1.0,39.25599999999999,39.25599999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221531_candidate_history_ordering_c1_trial3_pcitc_5147f75f,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221531_candidate_history_ordering_c1_trial3_pcitc_5147f75f/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221531_candidate_history_ordering_c1_trial3_pcitc_5147f75f/pcitc.test.patterntrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,1,20260615-221537_candidate_history_ordering_c1_trial1_destc_93cbd34a,destc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,352,388,352,295215,0,0,1,14.8,history,destc_fault_profile.json,388,388,760.8634020618557,759.8634020618557,74190,True,1,False,1.0,95.0,95.0,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221537_candidate_history_ordering_c1_trial1_destc_93cbd34a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221537_candidate_history_ordering_c1_trial1_destc_93cbd34a/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221537_candidate_history_ordering_c1_trial1_destc_93cbd34a/destc.test.patterntrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,2,20260615-221546_candidate_history_ordering_c1_trial2_destc_13d8b607,destc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,347,388,347,295215,0,0,1,15.783,history,destc_fault_profile.json,388,388,760.8634020618557,759.8634020618557,74190,True,1,False,1.0,94.9517,94.9517,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221546_candidate_history_ordering_c1_trial2_destc_13d8b607,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221546_candidate_history_ordering_c1_trial2_destc_13d8b607/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221546_candidate_history_ordering_c1_trial2_destc_13d8b607/destc.test.patterntrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,3,20260615-221556_candidate_history_ordering_c1_trial3_destc_01aba4c1,destc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,347,388,347,295215,0,0,1,15.617,history,destc_fault_profile.json,388,388,760.8634020618557,759.8634020618557,74190,True,1,False,1.0,94.9683,94.9683,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221556_candidate_history_ordering_c1_trial3_destc_01aba4c1,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221556_candidate_history_ordering_c1_trial3_destc_01aba4c1/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221556_candidate_history_ordering_c1_trial3_destc_01aba4c1/destc.test.patterntrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,1,20260615-221605_candidate_history_ordering_c1_trial1_DMAtc_7f033aeb,DMAtc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10760,10951,10760,77788,2071,2159,7064,26.4,history,DMAtc_fault_profile.json,15181,10951,6.717012145009588,5.717012145009588,14685,True,1,False,1.0,-15.678000000000011,-15.678000000000011,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221605_candidate_history_ordering_c1_trial1_DMAtc_7f033aeb,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221605_candidate_history_ordering_c1_trial1_DMAtc_7f033aeb/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-221605_candidate_history_ordering_c1_trial1_DMAtc_7f033aeb/DMAtc.test.patterntrace.csv
