candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,fault_ordering_mode,fault_history_profile,fault_trace_attempts,generated_patterns_traced,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir,fault_trace_path,pattern_trace_path,drop_trace_path
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-114353_candidate_history_ordering_trial1_pcitc_24def5a5,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5947,6024,5947,75768,128,4,51,10.267,history,pcitc_fault_profile.json,6156,6024,12.555776892430279,11.555776892430279,17505,True,1,True,1.0,39.329299999999996,39.329299999999996,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114353_candidate_history_ordering_trial1_pcitc_24def5a5,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114353_candidate_history_ordering_trial1_pcitc_24def5a5/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114353_candidate_history_ordering_trial1_pcitc_24def5a5/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114353_candidate_history_ordering_trial1_pcitc_24def5a5/pcitc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,2,20260616-114400_candidate_history_ordering_trial2_pcitc_8b6a3dbe,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5946,6024,5946,75768,128,4,51,10.4,history,pcitc_fault_profile.json,6156,6024,12.555776892430279,11.555776892430279,17505,True,1,True,1.0,39.32599999999999,39.32599999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114400_candidate_history_ordering_trial2_pcitc_8b6a3dbe,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114400_candidate_history_ordering_trial2_pcitc_8b6a3dbe/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114400_candidate_history_ordering_trial2_pcitc_8b6a3dbe/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114400_candidate_history_ordering_trial2_pcitc_8b6a3dbe/pcitc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,3,20260616-114406_candidate_history_ordering_trial3_pcitc_92278795,pcitc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5948,6024,5948,75768,128,4,51,10.133,history,pcitc_fault_profile.json,6156,6024,12.555776892430279,11.555776892430279,17505,True,1,True,1.0,39.33269999999999,39.33269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114406_candidate_history_ordering_trial3_pcitc_92278795,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114406_candidate_history_ordering_trial3_pcitc_92278795/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114406_candidate_history_ordering_trial3_pcitc_92278795/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114406_candidate_history_ordering_trial3_pcitc_92278795/pcitc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-114412_candidate_history_ordering_trial1_destc_ef68ff34,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,369,399,369,295215,0,0,1,11.983,history,destc_fault_profile.json,399,399,739.8872180451128,738.8872180451128,74190,True,1,True,1.0,95.1117,95.1117,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114412_candidate_history_ordering_trial1_destc_ef68ff34,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114412_candidate_history_ordering_trial1_destc_ef68ff34/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114412_candidate_history_ordering_trial1_destc_ef68ff34/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114412_candidate_history_ordering_trial1_destc_ef68ff34/destc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,2,20260616-114419_candidate_history_ordering_trial2_destc_4d551d09,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,373,399,373,295215,0,0,1,11.917,history,destc_fault_profile.json,399,399,739.8872180451128,738.8872180451128,74190,True,1,True,1.0,95.0783,95.0783,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114419_candidate_history_ordering_trial2_destc_4d551d09,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114419_candidate_history_ordering_trial2_destc_4d551d09/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114419_candidate_history_ordering_trial2_destc_4d551d09/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114419_candidate_history_ordering_trial2_destc_4d551d09/destc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,3,20260616-114427_candidate_history_ordering_trial3_destc_dffedd18,destc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,370,399,370,295215,0,0,1,11.833,history,destc_fault_profile.json,399,399,739.8872180451128,738.8872180451128,74190,True,1,True,1.0,95.1167,95.1167,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114427_candidate_history_ordering_trial3_destc_dffedd18,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114427_candidate_history_ordering_trial3_destc_dffedd18/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114427_candidate_history_ordering_trial3_destc_dffedd18/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114427_candidate_history_ordering_trial3_destc_dffedd18/destc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,1,20260616-114434_candidate_history_ordering_trial1_DMAtc_3cba8f50,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10757,10940,10757,77788,1988,2242,4596,24.1,history,DMAtc_fault_profile.json,15170,10940,6.723765996343693,5.723765996343693,14685,True,1,True,1.0,-15.41800000000001,-15.41800000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114434_candidate_history_ordering_trial1_DMAtc_3cba8f50,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114434_candidate_history_ordering_trial1_DMAtc_3cba8f50/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114434_candidate_history_ordering_trial1_DMAtc_3cba8f50/DMAtc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114434_candidate_history_ordering_trial1_DMAtc_3cba8f50/DMAtc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,2,20260616-114449_candidate_history_ordering_trial2_DMAtc_109b54f5,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10759,10940,10759,77788,1988,2242,4596,23.95,history,DMAtc_fault_profile.json,15170,10940,6.723765996343693,5.723765996343693,14685,True,1,True,1.0,-15.423000000000005,-15.423000000000005,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114449_candidate_history_ordering_trial2_DMAtc_109b54f5,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114449_candidate_history_ordering_trial2_DMAtc_109b54f5/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114449_candidate_history_ordering_trial2_DMAtc_109b54f5/DMAtc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114449_candidate_history_ordering_trial2_DMAtc_109b54f5/DMAtc.test.droptrace.csv
history_ordering,fault_to_fault_learning,Use an offline fault-to-fault profile to prioritize high-value faults and adapt per-fault backtrack budgets.,3,20260616-114503_candidate_history_ordering_trial3_DMAtc_28c5af1c,DMAtc.bench,"[""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10758,10940,10758,77788,1988,2242,4596,24.067,history,DMAtc_fault_profile.json,15170,10940,6.723765996343693,5.723765996343693,14685,True,1,True,1.0,-15.424700000000001,-15.424700000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114503_candidate_history_ordering_trial3_DMAtc_28c5af1c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114503_candidate_history_ordering_trial3_DMAtc_28c5af1c/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114503_candidate_history_ordering_trial3_DMAtc_28c5af1c/DMAtc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114503_candidate_history_ordering_trial3_DMAtc_28c5af1c/DMAtc.test.droptrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,1,20260616-114518_candidate_history_ordering_c1_trial1_pcitc_7abe6aa7,pcitc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5942,6024,5942,75768,128,4,51,10.817,history,pcitc_fault_profile.json,6156,6024,12.555776892430279,11.555776892430279,17505,True,1,False,1.0,39.324299999999994,39.324299999999994,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114518_candidate_history_ordering_c1_trial1_pcitc_7abe6aa7,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114518_candidate_history_ordering_c1_trial1_pcitc_7abe6aa7/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114518_candidate_history_ordering_c1_trial1_pcitc_7abe6aa7/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114518_candidate_history_ordering_c1_trial1_pcitc_7abe6aa7/pcitc.test.droptrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,2,20260616-114524_candidate_history_ordering_c1_trial2_pcitc_fe6c8673,pcitc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5942,6024,5942,75768,128,4,51,10.917,history,pcitc_fault_profile.json,6156,6024,12.555776892430279,11.555776892430279,17505,True,1,False,1.0,39.31429999999999,39.31429999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114524_candidate_history_ordering_c1_trial2_pcitc_fe6c8673,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114524_candidate_history_ordering_c1_trial2_pcitc_fe6c8673/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114524_candidate_history_ordering_c1_trial2_pcitc_fe6c8673/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114524_candidate_history_ordering_c1_trial2_pcitc_fe6c8673/pcitc.test.droptrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,3,20260616-114531_candidate_history_ordering_c1_trial3_pcitc_6a7e9c9f,pcitc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/pcitc_fault_profile.json""]",0,True,False,,99.826,5941,6024,5941,75768,128,4,51,11.217,history,pcitc_fault_profile.json,6156,6024,12.555776892430279,11.555776892430279,17505,True,1,False,1.0,39.29429999999999,39.29429999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114531_candidate_history_ordering_c1_trial3_pcitc_6a7e9c9f,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114531_candidate_history_ordering_c1_trial3_pcitc_6a7e9c9f/pcitc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114531_candidate_history_ordering_c1_trial3_pcitc_6a7e9c9f/pcitc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114531_candidate_history_ordering_c1_trial3_pcitc_6a7e9c9f/pcitc.test.droptrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,1,20260616-114538_candidate_history_ordering_c1_trial1_destc_0a367f61,destc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,349,399,349,295215,0,0,1,16.1,history,destc_fault_profile.json,399,399,739.8872180451128,738.8872180451128,74190,True,1,False,1.0,94.9,94.9,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114538_candidate_history_ordering_c1_trial1_destc_0a367f61,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114538_candidate_history_ordering_c1_trial1_destc_0a367f61/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114538_candidate_history_ordering_c1_trial1_destc_0a367f61/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114538_candidate_history_ordering_c1_trial1_destc_0a367f61/destc.test.droptrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,2,20260616-114547_candidate_history_ordering_c1_trial2_destc_c2ecd72b,destc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,352,399,352,295215,0,0,1,15.35,history,destc_fault_profile.json,399,399,739.8872180451128,738.8872180451128,74190,True,1,False,1.0,94.94500000000001,94.94500000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114547_candidate_history_ordering_c1_trial2_destc_c2ecd72b,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114547_candidate_history_ordering_c1_trial2_destc_c2ecd72b/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114547_candidate_history_ordering_c1_trial2_destc_c2ecd72b/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114547_candidate_history_ordering_c1_trial2_destc_c2ecd72b/destc.test.droptrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,3,20260616-114557_candidate_history_ordering_c1_trial3_destc_e87763b2,destc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/destc_fault_profile.json""]",0,True,False,,100.0,356,399,356,295215,0,0,1,15.8,history,destc_fault_profile.json,399,399,739.8872180451128,738.8872180451128,74190,True,1,False,1.0,94.86,94.86,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114557_candidate_history_ordering_c1_trial3_destc_e87763b2,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114557_candidate_history_ordering_c1_trial3_destc_e87763b2/destc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114557_candidate_history_ordering_c1_trial3_destc_e87763b2/destc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114557_candidate_history_ordering_c1_trial3_destc_e87763b2/destc.test.droptrace.csv
history_ordering_c1,fault_to_fault_learning,Combine history-based ordering with the current score-balanced compaction setting.,1,20260616-114606_candidate_history_ordering_c1_trial1_DMAtc_135620b7,DMAtc.bench,"[""-c"", ""1"", ""-O"", ""history"", ""-F"", ""/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/profiles/DMAtc_fault_profile.json""]",0,True,False,,94.562,10740,10940,10740,77788,1988,2242,4596,27.183,history,DMAtc_fault_profile.json,15170,10940,6.723765996343693,5.723765996343693,14685,True,1,False,1.0,-15.556300000000007,-15.556300000000007,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114606_candidate_history_ordering_c1_trial1_DMAtc_135620b7,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114606_candidate_history_ordering_c1_trial1_DMAtc_135620b7/DMAtc.test.faulttrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114606_candidate_history_ordering_c1_trial1_DMAtc_135620b7/DMAtc.test.patterntrace.csv,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260616-114606_candidate_history_ordering_c1_trial1_DMAtc_135620b7/DMAtc.test.droptrace.csv
