candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
adaptive_c1,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10723.666666666666,1.5275252316519468,10723.333333333334,0.3333333333321207,0.003108486167225247,35.94433333333333,1.6265870199080439,37.41133333333333,-1.4669999999999987,-3.92127162891815,-16.269100000000005,0.15177786399867646,-16.412466666666674,0.14336666666666886,1.0,1.0,0.0,1.0,True,True,False
adaptive_c1,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,351.6666666666667,3.0550504633038935,347.3333333333333,4.333333333333371,1.2476007677543297,17.833333333333332,1.250128926684497,22.91633333333333,-5.082999999999998,-22.18068626452748,94.7,0.09485193724958808,94.23503333333333,0.46496666666666897,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.666666666667,2.0816659994661326,5943.0,1.6666666666669698,0.02804419765551018,12.805666666666667,0.18380787070561802,13.582999999999998,-0.7773333333333312,-5.722839824290152,39.09876666666666,0.02217776664439274,39.037699999999994,0.06106666666666882,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10724.0,2.6457513110645907,10723.333333333334,0.6666666666660603,0.006216972334467457,37.37766666666666,0.7170399802893387,37.41133333333333,-0.03366666666666873,-0.08999055544666162,-16.415766666666666,0.07089050241981375,-16.412466666666674,-0.003299999999992309,1.0,1.0,0.0,1.0,False,True,False
adaptive_c1_learning,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,354.6666666666667,0.5773502691896257,347.3333333333333,7.333333333333371,2.111324376199627,21.510999999999996,0.3311540427052041,22.91633333333333,-1.4053333333333349,-6.132452835677618,94.30223333333333,0.03883250356767084,94.23503333333333,0.0671999999999997,1.0,1.0,0.0,1.0,True,True,True
adaptive_c1_learning,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.0,1.0,5943.0,1.0,0.016826518593303048,13.494666666666667,0.1954388224824677,13.582999999999998,-0.08833333333333115,-0.6503227073056849,39.03653333333333,0.023429966567052884,39.037699999999994,-0.0011666666666627634,1.0,1.0,0.0,1.0,False,True,False
adaptive_c2,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10804.666666666666,7.505553499465135,10723.333333333334,81.33333333333212,0.7584706248057083,30.839,0.8421775347276842,37.41133333333333,-6.572333333333333,-17.567760215264535,-16.56856666666667,0.07459868184715995,-16.412466666666674,-0.15609999999999502,1.0,1.0,1.0,1.0,False,True,False
adaptive_c2,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,393.3333333333333,7.094598884597588,347.3333333333333,46.0,13.24376199616123,13.1,0.3330000000000002,22.91633333333333,-9.816333333333331,-42.83553215319495,94.75666666666666,0.0883584932721975,94.23503333333333,0.5216333333333267,1.0,1.0,1.0,1.0,True,True,True
adaptive_c2,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5969.0,1.7320508075688772,5943.0,26.0,0.43748948342587923,11.677666666666667,0.04792007234273905,13.582999999999998,-1.9053333333333313,-14.027338094186348,38.96823333333332,0.020148531791009852,39.037699999999994,-0.06946666666667056,1.0,1.0,1.0,1.0,False,True,False
adaptive_c2_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10811.666666666666,14.047538337136986,10723.333333333334,88.33333333333212,0.8237488343176759,39.949999999999996,14.463588386012649,37.41133333333333,2.538666666666664,6.785822478036953,-17.549666666666667,1.3199557656729766,-16.412466666666674,-1.1371999999999929,1.0,1.0,1.0,1.0,False,False,False
adaptive_c2_learning,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,391.6666666666667,7.637626158259733,347.3333333333333,44.33333333333337,12.763915547024965,15.511000000000001,0.04849742261192835,22.91633333333333,-7.4053333333333295,-32.314651849481436,94.53223333333334,0.07560987589814949,94.23503333333333,0.2972000000000037,1.0,1.0,1.0,1.0,True,True,True
adaptive_c2_learning,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5972.0,1.7320508075688772,5943.0,29.0,0.4879690392057883,12.166333333333334,0.07637626158259744,13.582999999999998,-1.4166666666666643,-10.429703796412165,38.88936666666666,0.023629078131264355,39.037699999999994,-0.14833333333333343,1.0,1.0,1.0,1.0,False,True,False
adaptive_default,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10808.666666666666,0.5773502691896257,10723.333333333334,85.33333333333212,0.795772458812547,30.744333333333334,0.4680772728229104,37.41133333333333,-6.666999999999998,-17.820802965233348,-16.599100000000004,0.04166089293329842,-16.412466666666674,-0.18663333333332943,1.0,1.0,1.0,1.0,False,True,False
adaptive_default,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,389.3333333333333,1.1547005383792515,347.3333333333333,42.0,12.092130518234166,12.25,0.6303483164092696,22.91633333333333,-10.66633333333333,-46.54467701348383,94.88166666666666,0.07099805161646632,94.23503333333333,0.6466333333333267,1.0,1.0,1.0,1.0,True,True,True
adaptive_default,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5973.0,1.7320508075688772,5943.0,30.0,0.5047955577990914,11.427666666666667,0.14948690020645047,13.582999999999998,-2.1553333333333313,-15.867874058259085,38.95323333333332,0.027503878514371867,39.037699999999994,-0.08446666666667113,1.0,1.0,1.0,1.0,False,True,False
