candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,aborted_delta_mean,redundant_delta_mean,backtracking_delta_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,faults_dropped_per_generated_pattern_mean,extra_drops_per_generated_pattern_mean,max_pattern_extra_drops_mean,adaptive_phase2_enabled_rate,adaptive_phase2_profile_faults_mean,adaptive_phase2_attempted_faults_mean,adaptive_phase2_skipped_faults_mean,adaptive_enabled_rate,adaptive_shuffle_limit_mean,adaptive_stopped_early_rate,adaptive_min_benefit_mean,wins_benchmark,runtime_win,stable_win
global_phase2_b10_reference,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10817.333333333334,11.372481406154654,10723.666666666666,93.66666666666788,0.8734574616891102,40.705333333333336,0.40186606392345725,35.94433333333333,4.761000000000003,13.245481438891627,0.0,0.0,23749.0,-17.681866666666668,0.13340525976637088,-16.269100000000005,-1.4127666666666627,5.857927849008521,4.857927849008521,14685.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False
global_phase2_b10_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,391.6666666666667,1.1547005383792515,351.6666666666667,40.0,11.374407582938389,13.455333333333334,0.1547460284896943,17.833333333333332,-4.377999999999998,-24.549532710280367,0.0,0.0,0.0,94.7378,0.015103972987268649,94.7,0.037799999999990064,618.8993710691824,617.8993710691824,74190.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,True,True
global_phase2_b10_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5970.333333333333,6.658328118479393,5944.666666666667,25.66666666666606,0.4317595603902556,11.933333333333332,0.20511541466533761,12.805666666666667,-0.8723333333333354,-6.812088398365324,0.0,0.0,11.0,38.929333333333325,0.05446763565029339,39.09876666666666,-0.16943333333333754,10.699674635733482,9.699674635733484,17505.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,True,False
global_phase2_b20_reference,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10812.333333333334,7.505553499465135,10723.666666666666,88.66666666666788,0.8268316185384466,45.1,0.4496543116661959,35.94433333333333,9.155666666666669,25.47179434866878,-908.0,908.0,40885.0,-18.07133333333334,0.0305650672064321,-16.269100000000005,-1.8022333333333336,5.857927849008521,4.857927849008521,14685.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False
global_phase2_b20_reference,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,394.0,3.605551275463989,351.6666666666667,42.333333333333314,12.037914691943122,13.933333333333332,0.32145502536643233,17.833333333333332,-3.9000000000000004,-21.869158878504678,0.0,0.0,0.0,94.66666666666667,0.005773502691895109,94.7,-0.03333333333333144,618.8993710691824,617.8993710691824,74190.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,True,False
global_phase2_b20_reference,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5972.0,4.58257569495584,5944.666666666667,27.33333333333303,0.4597958954805376,12.044666666666666,0.09458505872141405,12.805666666666667,-0.761000000000001,-5.94268162532213,0.0,0.0,21.0,38.901533333333326,0.055267199434508224,39.09876666666666,-0.1972333333333367,10.699674635733482,9.699674635733484,17505.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,True,False
history_adaptive_phase2,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10757.0,3.0,10723.666666666666,33.33333333333394,0.31083895433776326,27.361,0.24990398156091964,35.94433333333333,-8.583333333333332,-23.879517401908505,60.0,-60.0,-8005.0,-15.74410000000001,0.050739728024499026,-16.269100000000005,0.524999999999995,6.8033666296707365,5.8033666296707365,14685.0,1.0,572.0,571.0,1671.0,1.0,1.0,1.0,1.0,True,True,True
history_adaptive_phase2,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,362.3333333333333,1.5275252316519468,351.6666666666667,10.666666666666629,3.033175355450226,11.861333333333334,0.3415352592827471,17.833333333333332,-5.971999999999998,-33.48785046728971,0.0,0.0,0.0,95.19053333333333,0.03274848597008676,94.7,0.4905333333333317,768.7890625,767.7890625,74190.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,True,True
history_adaptive_phase2,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5971.0,1.0,5944.666666666667,26.33333333333303,0.4429740944263715,10.472333333333333,0.19734825394042158,12.805666666666667,-2.333333333333334,-18.221100033839193,3.0,-3.0,-90.0,39.068766666666654,0.021736221689457522,39.09876666666666,-0.030000000000008242,12.599700149925036,11.599700149925036,17505.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,False,True,False
history_adaptive_phase2_c1,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10752.0,1.7320508075688772,10723.666666666666,28.33333333333394,0.2642131111870996,29.049666666666667,0.9385272150200715,35.94433333333333,-6.894666666666666,-19.181512153051475,60.0,-60.0,-8005.0,-15.862966666666674,0.07783529619223714,-16.269100000000005,0.40613333333333124,6.8033666296707365,5.8033666296707365,14685.0,1.0,572.0,571.0,1671.0,1.0,1.0,0.0,1.0,True,True,True
history_adaptive_phase2_c1,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,342.6666666666667,1.1547005383792515,351.6666666666667,-9.0,-2.559241706161137,17.605666666666668,1.0449623597686837,17.833333333333332,-0.22766666666666424,-1.276635514018678,0.0,0.0,0.0,94.81276666666668,0.09295947145575716,94.7,0.11276666666667268,768.7890625,767.7890625,74190.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,True,True,True
history_adaptive_phase2_c1,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5969.0,1.0,5944.666666666667,24.33333333333303,0.40933049231803903,10.728,0.05350700888668689,12.805666666666667,-2.0776666666666674,-16.224588072988528,3.0,-3.0,-90.0,39.06319999999999,0.005350700888667649,39.09876666666666,-0.03556666666667496,12.599700149925036,11.599700149925036,17505.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,False,True,False
